Air quality monitoring: NO2;;;
Unit: µg(NO2)/m³;;;
Year;Station;St.type;Average NO2
2003;Aalborg/8151;Street;35
2003;Århus/6153;Street;46
2003;Copenhagen/1259;Urban backgr.;23
2003;Odense/9159;Urban backgr.;20
2003;Aalborg/8159;Urban backgr.;18
2003;Århus/6159;Urban backgr.;27
2003;Keldsnor/9055;regional;10
2003;Lille Valby/2090;regional;12
2003;Risø/Lille Valby;regional;12
2002;Copenhagen/1103;Street;61
2002;Copenhagen/1257;Street;47
2002;Odense/9155;Street;37
2002;Aalborg/8151;Street;33
2002;Århus/6153;Street;44
2002;Copenhagen/1259;Urban backgr.;20
2002;Odense/9159;Urban backgr.;18
2002;Aalborg/8159;Urban backgr.;17
2002;Århus/6159;Urban backgr.;26
2002;Keldsnor/9055;regional;9
2002;Lille Valby/2090;regional;12
2002;Risø/Lille Valby;regional;12
2001;Copenhagen/1103;Street;53
2001;Copenhagen/1257;Street;40
2001;Odense/9155;Street;31
2001;Aalborg/8151;Street;35
2001;Århus/6153;Street;43
2001;Copenhagen/1259;Urban backgr.;22
2001;Odense/9159;Urban backgr.;18
2001;Aalborg/8159;Urban backgr.;16
2001;Århus/6159;Urban backgr.;-
2001;Keldsnor/9055;regional;8
2001;Lille Valby/2090;regional;10
2001;Risø/Lille Valby;regional;10
2000;Copenhagen/1257;Street;42
2000;Odense/9155;Street;31
2000;Aalborg/8151;Street;35
2000;Copenhagen/1259;Urban backgr.;21
2000;Odense/9159;Urban backgr.;17
2000;Aalborg/8159;Urban backgr.;17
2000;Keldsnor/9055;regional;5
2000;Lille Valby/2090;regional;12
2000;Risø/Lille Valby;regional;12
1999;Copenhagen/1257;Street;47
1999;Odense/9155;Street;33
1999;Aalborg/8151;Street;40
1999;Copenhagen/1259;Urban backgr.;25
1999;Odense/9159;Urban backgr.;20
1999;Aalborg/8159;Urban backgr.;18
1999;Keldsnor/9055;regional;9
1999;Lille Valby/2090;regional;12
1999;Risø/Lille Valby;regional;12
1998;Copenhagen/1257;Street;43
1998;Odense/9155;Street;32
1998;Aalborg/8151;Street;34
1998;Copenhagen/1259;Urban backgr.;24
1998;Odense/9159;Urban backgr.;19
1998;Aalborg/8159;Urban backgr.;17
1998;Keldsnor/9055;regional;11
1998;Lille Valby/2090;regional;11
1998;Risø/Lille Valby;regional;11
1997;Copenhagen/1257;Street;43
1997;Odense/9155;Street;36
1997;Aalborg/8151;Street;34
1997;Copenhagen/1259;Urban backgr.;28
1997;Odense/9159;Urban backgr.;23
1997;Aalborg/8159;Urban backgr.;19
1997;Keldsnor/9055;regional;12
1997;Lille Valby/2090;regional;15
1997;Risø/Lille Valby;regional;15
1996;Copenhagen/1257;Street;45
1996;Odense/9155;Street;34
1996;Aalborg/8151;Street;38
1996;Copenhagen/1259;Urban backgr.;30
1996;Keldsnor/9055;regional;13
1996;Lille Valby/2090;regional;15
1996;Risø/Lille Valby;regional;15
1995;Copenhagen/1257;Street;53
1995;Odense/9155;Street;34
1995;Aalborg/8151;Street;37
1995;Copenhagen/1259;Urban backgr.;29
1995;Keldsnor/9055;regional;9
1995;Lille Valby/2090;regional;14
1995;Risø/Lille Valby;regional;14
1994;Copenhagen/1257;Street;46
1994;Odense/9155;Street;35
1994;Aalborg/8151;Street;36
1994;Lille Valby/2090;regional;12
1994;Risø/Lille Valby;regional;12
1993;Copenhagen/1257;Street;44
1993;Odense/9155;Street;37
1993;Aalborg/8151;Street;39
1993;Lille Valby/2090;regional;15
1993;Risø/Lille Valby;regional;15
1992;Copenhagen/1257;Street;52
1992;Odense/9155;Street;37
1992;Aalborg/8151;Street;39
1992;Lille Valby/2090;regional;15
1992;Risø/Lille Valby;regional;15
1991;Copenhagen/1257;Street;52
1991;Odense/9155;Street;42
1991;Aalborg/8151;Street;41
1990;Copenhagen/1257;Street;54
1990;Odense/9155;Street;35
1990;Aalborg/8151;Street;36
1989;Copenhagen/1257;Street;62
1989;Odense/9155;Street;39
1989;Aalborg/8151;Street;44
1988;Copenhagen/1257;Street;62
1988;Odense/9155;Street;48
1988;Aalborg/8151;Street;49
1987;Aalborg/8151;Street;40
1986;Aalborg/8151;Street;42
1985;Aalborg/8151;Street;40
1984;Aalborg/8151;Street;42
1983;Aalborg/8151;Street;41
