﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;23-11-2011;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/090abb5a-c0d8-453b-b5fa-3f74d3a722ba;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;24;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;18-12-2013;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/28b79b2f-86f0-4273-b195-9d2ff587f864;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;253;Nitrogen,total N; =;8,7;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;14-12-1999;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a9e4218d-9eca-4d87-8c58-c52302e06d0a;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;256;Ortho-phosphat-P; =;0,007;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;02-10-2001;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d0fe6961-cf95-4f51-9d5b-56ef698817ed;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;241;Ammoniak+ammonium-N; =;0,0099;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;26-02-1992;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8da2ab29-c960-4e26-80a8-059c0afd4f4a;Celle 03 - grøn;32;612187,5;6109794,29;1;2;Enkeltprøve;1;Ej oplyst;;251;Nitrit+nitrat-N; =;33,3;mg/l;9999999;;2
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;09-12-1992;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d8c8d9aa-53e4-426e-ac5a-478cdd324db2;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;324;Natrium; =;15;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;02-05-2012;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1959140e-6c58-4781-bba0-738f399153e2;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;242;Ammonium-N; =;0,011;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;05-03-2014;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d64969ae-dae5-48da-9976-0199b605e3ed;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;256;Ortho-phosphat-P; =;0,01;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;20-02-2001;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/603c6847-efd7-4c35-a630-8ab76909d87c;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;13;pH; =;7,4;pH;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;13-05-2009;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fbb31d36-0e56-4bfe-a308-cc81bcf92d84;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;242;Ammonium-N; =;0,009;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;03-01-2018;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3408d97f-f217-4e8b-911f-c8f61c6d51d1;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,006;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;01-12-1993;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2206a54c-d734-428a-838a-8bf3e0670631;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;251;Nitrit+nitrat-N; =;19,1;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;04-05-1999;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ac640bfd-a6e5-46cf-a82f-cdd77376a40f;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;13;pH; =;7,1;pH;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;08-04-2008;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/98862351-f8dc-4fac-a7bf-3a33c7156ab2;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;31;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;15-02-2017;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/89f25a01-68b7-407a-905d-af4ad6b15400;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Total;;251;Nitrit+nitrat-N; =;24;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;29-03-2005;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/376f3a12-0e8a-40bd-9be0-1df82afd858a;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;251;Nitrit+nitrat-N; =;2;mg/l;9999999;;3
Station;40906;Grøfthøj;4.06.01.00;32;612205,97;6109793,13;Svendborg;Region Syddanmark;Jordvand;Loop 4, Lillebæk;06-03-2002;1;Vandkemi, Jordvand;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/08a2ad31-744a-4289-9f60-910b5aee10fa;Grøfthøj;32;612205,97;6109793,13;1;1;Blandingsprøve;1;Ej oplyst;;13;pH; =;7,3;pH;9999999;;3
